lag,ic,p_value,n,significant,signal
1,0.02235154736971837,0.5577842464229643,690,False,sentiment_only
2,0.09576319473808186,0.027197411393662694,532,True,sentiment_only
3,0.10623874756197255,0.019021968494586754,487,True,sentiment_only
5,0.01526835830946232,0.7527853111866623,428,False,sentiment_only
10,0.05453565413086651,0.3021139134006199,360,False,sentiment_only
15,0.039189145407993405,0.47007406998335033,342,False,sentiment_only
20,-0.06786080739325134,0.21131041955200522,341,False,sentiment_only
1,0.014350665326141824,0.7066960748951089,690,False,combined_S40M40V20
2,0.08299284362221683,0.055743055143699406,532,False,combined_S40M40V20
3,0.06229300896986372,0.1699117429039966,487,False,combined_S40M40V20
5,-0.039438509842867835,0.41573617085944825,428,False,combined_S40M40V20
10,0.031891074305756446,0.5464157897959866,360,False,combined_S40M40V20
15,0.023137745973795358,0.6698291835672032,342,False,combined_S40M40V20
20,-0.037003774960953056,0.49584442108030574,341,False,combined_S40M40V20
