period,ic,p_value,n,significant,period_type
2019,,,1,False,year
2022,0.10504962694304155,0.24950373729648911,122,False,year
2023,0.09471908268072773,0.6750088055194619,22,False,year
2024,0.05628910900776249,0.6410354226507218,71,False,year
2025,0.24908686368332353,0.014393994685325,96,True,year
2026,0.02908789482424115,0.6678677702082159,220,False,year
2019-Q4,,,1,False,quarter
2022-Q1,0.07814381248112547,0.5896037309071406,50,False,quarter
2022-Q2,0.14682136255567926,0.43060380074832916,31,False,quarter
2022-Q3,-0.0561587782570886,0.7897551950873851,25,False,quarter
2022-Q4,-0.1960392117639214,0.46682484902655064,16,False,quarter
2023-Q1,,,8,False,quarter
2023-Q2,,,4,False,quarter
2023-Q3,,,8,False,quarter
2023-Q4,,,2,False,quarter
2024-Q1,,,8,False,quarter
2024-Q2,0.018248120945592396,0.9251455767392203,29,False,quarter
2024-Q3,-0.05953405577875872,0.8330771027138927,15,False,quarter
2024-Q4,0.223821704914048,0.3569747807703567,19,False,quarter
2025-Q1,0.348163340929691,0.10352042943217596,23,False,quarter
2025-Q2,0.6070451237732545,0.0010077339565236281,26,True,quarter
2025-Q3,-0.009485173220407872,0.9692582138422158,19,False,quarter
2025-Q4,0.0005795668595295785,0.9976646347420336,28,False,quarter
2026-Q1,0.02908789482424115,0.6678677702082159,220,False,quarter
