total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,ic,ic_p_value,hit_rate,n_periods,rebalance_periods,hold_days,quantile_cutoff,weighting,macro_vix_filter,avg_gross_exposure,avg_turnover,avg_positions_per_side,label
0.0842,0.8907,0.5808,1.29,3.4525,4.4625,-0.1996,0.5,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20% equ  NO cost
0.0586,0.566,0.5808,0.9645,1.9492,2.7495,-0.2058,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20% equ  low cost (5+2.5bps)
0.0664,0.5889,0.7309,0.8768,1.9876,3.0396,-0.1937,0.4286,0.1565,0.5932,0.4286,7,182,5,0.2,equal,False,2.0,1.5,1.0,Q=20% equ  hold=5d
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20%  2d equal
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.15,equal,False,2.0,1.4667,1.0,Q=15%  2d equal
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.1,equal,False,2.0,1.4667,1.0,Q=10%  2d equal
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20% equ  2d
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.1,equal,False,2.0,1.4667,1.0,Q=10% equ  2d
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,vol_scaled,False,2.0,1.4667,1.0,Q=20% vol  2d
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.1,vol_scaled,False,2.0,1.4667,1.0,Q=10% vol  2d
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20% equ  full cost (10+5bps)
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20% equ  no VIX filter
0.0335,0.2967,0.5808,0.6391,0.9416,1.399,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20% equ  hold=2d
-0.0149,-0.1117,0.5808,-0.0118,-0.5863,-0.4978,-0.2244,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,False,2.0,1.4667,1.0,Q=20% equ  high cost (20+10bps)
-0.0159,-0.1185,0.518,-0.0874,-0.6115,-0.5586,-0.2121,0.4375,0.0063,0.9728,0.5625,16,369,2,0.2,equal,True,1.9375,1.4667,1.0,Q=20% equ  +VIX filter
-0.1294,-0.6878,0.4395,-2.5383,-3.0635,-3.3842,-0.2032,0.3,-0.1889,0.425,0.5,10,280,3,0.2,equal,False,2.0,1.5556,1.0,Q=20% equ  hold=3d
-0.4656,-0.9977,0.9702,-5.7289,-1.2982,-2.0236,-0.493,0.2692,-0.147,0.2983,0.3269,26,584,1,0.2,equal,False,2.0,1.28,1.0,Q=20% equ  hold=1d
