total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,ic,ic_p_value,hit_rate,n_periods,rebalance_periods,hold_days,quantile_cutoff,weighting,signal_col,avg_gross_exposure,avg_turnover,avg_positions_per_side,label
0.1128,2.8454,0.5642,2.5709,7.5716,26.2455,-0.1084,0.6,0.0696,0.6868,0.4444,10,204,2,0.2,equal,signal,2.0,1.2222,1.8,Sentiment only
-0.1314,-0.8305,0.6359,-2.5478,-1.7118,-7.116,-0.1167,0.6,-0.0906,0.5992,0.4167,10,203,2,0.2,equal,momentum,2.0,1.5556,1.8,Momentum only
-0.1417,-0.8541,0.5794,-3.1104,-2.3582,-3.6402,-0.2346,0.3,-0.1532,0.3725,0.4167,10,203,2,0.2,equal,vol_factor,2.0,1.0741,1.8,Vol-factor only
-0.3234,-0.9927,0.4922,-9.6704,-3.0467,-3.9066,-0.2541,0.3,-0.1326,0.4409,0.25,10,203,2,0.2,equal,liquidity,2.0,1.5741,1.8,Liquidity only
0.1128,2.8454,0.5642,2.5709,7.5716,26.2455,-0.1084,0.6,0.0696,0.6868,0.4444,10,204,2,0.2,equal,combined_score,2.0,1.2222,1.8,S100
0.0803,1.6452,0.4894,2.1228,4.2809,21.4023,-0.0769,0.6,0.1115,0.5175,0.4444,10,204,2,0.2,equal,combined_score,2.0,1.5185,1.8,S70+M30
0.0728,1.4238,0.441,2.1079,4.8027,21.513,-0.0662,0.6,-0.0865,0.616,0.4444,10,204,2,0.2,equal,combined_score,2.0,1.5741,1.8,S30+M50+V20
0.032,0.488,0.42,1.0262,1.5226,7.711,-0.0633,0.6,-0.0577,0.7384,0.4167,10,204,2,0.2,equal,combined_score,2.0,1.5741,1.8,S40+M40+V20
0.0207,0.2949,0.5756,0.6272,0.8717,2.3958,-0.1231,0.4,-0.0371,0.8301,0.4167,10,204,2,0.2,equal,combined_score,2.0,1.2222,1.8,S40+M20+V20+L20
-0.0068,-0.0826,0.5545,0.0136,-0.3482,-0.6895,-0.1198,0.5,0.0667,0.6993,0.4167,10,204,2,0.2,equal,combined_score,2.0,1.2222,1.8,S40+M30+V20+L10
-0.0267,-0.2892,0.5294,-0.4899,-0.8519,-2.003,-0.1444,0.5,-0.0263,0.8792,0.4167,10,204,2,0.2,equal,combined_score,2.0,1.3333,1.8,S50+M30+V20
-0.0644,-0.5677,0.3685,-2.2263,-3.158,-4.1491,-0.1368,0.3,-0.0561,0.7451,0.3889,10,204,2,0.2,equal,combined_score,2.0,1.3333,1.8,S33+M33+V34
-0.165,-0.8969,0.7755,-2.5836,-1.1756,-3.5143,-0.2552,0.5,-0.0587,0.7339,0.4167,10,204,2,0.2,equal,combined_score,2.0,1.2222,1.8,S60+V40
-0.1906,-0.9304,0.7315,-3.3055,-1.2887,-3.6011,-0.2584,0.4,0.0075,0.9655,0.4167,10,204,2,0.2,equal,combined_score,2.0,1.2037,1.8,S50+M20+V30
-0.155,-0.8802,0.5275,-3.8305,-2.3044,-3.8748,-0.2272,0.3,-0.0337,0.8452,0.4444,10,204,2,0.2,equal,combined_score,2.0,1.1111,1.8,S40+M20+V40
-0.177,-0.9141,0.4101,-5.8487,-3.4207,-4.5508,-0.2009,0.4,-0.036,0.8347,0.3333,10,204,2,0.2,equal,combined_score,2.0,1.3333,1.8,S60+L40
