generated_at,ticker,recommendation,signal_score,confidence,headline_count,confident_headline_count,top_positive_keywords,top_negative_keywords,source_breakdown,reasoning
2026-03-09T03:45:23.131928+00:00,TSLA,BUY,0.9786,0.9796,27,26,"beats, upgraded, share buyback","drops, crash, slumps, pressure, sec investigation","{'fnspid': 15, 'yahoo_finance': 7, 'nyt': 5}","15 of 26 confident headlines classified positive, 8 negative, 3 neutral (overall sentiment: positive). Highest-credibility source: nyt (weight=0.8). Keyword 'tsla' detected (historically negative avg CAR=-1.06%). Signal partially dampened by 8 negative headline(s) countering 15 positive one(s). Lexicon detected bullish signals: beats, upgraded, share buyback (lexicon score: -0.07). Lexicon detected bearish signals: drops, crash, slumps (lexicon score: -0.07). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.979."
2026-03-09T03:45:23.811804+00:00,META,BUY,0.9507,0.9571,31,28,"beats, ipo, soars, rally, share buyback","fears, concern, tumble, disappointing, bubble fears","{'fnspid': 14, 'guardian': 12, 'yahoo_finance': 3, 'economic_times': 1, 'nyt': 1}","16 of 28 confident headlines classified positive, 10 negative, 2 neutral (overall sentiment: positive). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 10 negative headline(s) countering 16 positive one(s). Lexicon detected bullish signals: beats, ipo, soars (lexicon score: -0.01). Lexicon detected bearish signals: fears, concern, tumble (lexicon score: -0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.951."
2026-03-09T03:45:22.569326+00:00,GS,BUY,0.3203,0.9649,31,26,"target on, acceleration, expands, share buyback, upgraded","warning, bubble, sec investigation, concerns, weak guidance","{'fnspid': 15, 'yahoo_finance': 10, 'nyt': 5, 'china_daily': 1}","11 of 26 confident headlines classified positive, 12 negative, 3 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'dividend' detected (historically negative avg CAR=-0.77%). Signal partially dampened by 12 negative headline(s) countering 11 positive one(s). Lexicon detected bullish signals: target on, acceleration, expands (lexicon score: -0.01). Lexicon detected bearish signals: warning, bubble, sec investigation (lexicon score: -0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.320."
2026-03-09T03:45:21.355278+00:00,MSFT,HOLD,0.0937,0.9725,27,26,"soars, share buyback, beats, upgraded","bubble fears, plummeted, worry, sell-off, fears","{'fnspid': 15, 'yahoo_finance': 6, 'nyt': 4, 'economic_times': 1, 'guardian': 1}","12 of 26 confident headlines classified positive, 11 negative, 3 neutral (overall sentiment: positive). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 12 positive one(s). Lexicon detected bullish signals: soars, share buyback, beats (lexicon score: -0.07). Lexicon detected bearish signals: bubble fears, plummeted, worry (lexicon score: -0.07). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.094."
2026-03-09T03:45:22.845362+00:00,BAC,HOLD,0.0752,0.9587,30,26,"rally, beats, upgraded, share buyback","risks, pressure, weak guidance, sec investigation, concerns","{'fnspid': 15, 'yahoo_finance': 9, 'nyt': 6}","10 of 26 confident headlines classified positive, 11 negative, 5 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 10 positive one(s). Lexicon detected bullish signals: rally, beats, upgraded (lexicon score: -0.01). Lexicon detected bearish signals: risks, pressure, weak guidance (lexicon score: -0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.075."
2026-03-09T03:45:21.052142+00:00,AAPL,HOLD,0.0047,0.9408,35,31,"jump, expands, raised its dividend, boom, upgraded","drops, sinking, worry, sell-off, volatility","{'fnspid': 14, 'yahoo_finance': 10, 'nyt': 10, 'newsapi': 1}","10 of 31 confident headlines classified positive, 14 negative, 7 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 14 negative headline(s) countering 10 positive one(s). Lexicon detected bullish signals: jump, expands, raised its dividend (lexicon score: -0.02). Lexicon detected bearish signals: drops, sinking, worry (lexicon score: -0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.005."
2026-03-09T03:45:21.596777+00:00,GOOGL,HOLD,-0.1522,0.9764,23,22,"doubles down, share buyback, beats","job cuts, concerns, pressure, sec investigation, weak guidance","{'fnspid': 14, 'yahoo_finance': 5, 'nyt': 3, 'economic_times': 1}","9 of 22 confident headlines classified positive, 11 negative, 2 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 9 positive one(s). Lexicon detected bullish signals: doubles down, share buyback, beats (lexicon score: -0.04). Lexicon detected bearish signals: job cuts, concerns, pressure (lexicon score: -0.04). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.152."
2026-03-09T03:45:21.894015+00:00,AMZN,HOLD,-0.1695,0.9582,29,28,"boom, committed, beats, upgraded, share buyback","pressure, surging oil, threaten, worries, tumble","{'fnspid': 15, 'nyt': 7, 'yahoo_finance': 4, 'economic_times': 2, 'guardian': 1}","11 of 28 confident headlines classified positive, 11 negative, 6 neutral (overall sentiment: mixed). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 11 positive one(s). Lexicon detected bullish signals: boom, committed, beats (lexicon score: -0.03). Lexicon detected bearish signals: pressure, surging oil, threaten (lexicon score: -0.03). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.170."
2026-03-09T03:45:23.463286+00:00,NVDA,SELL,-0.553,0.9571,24,23,"surges, skyrocketed, ipo, share buyback, beats","dive, crash, pressure, sec investigation, concerns","{'fnspid': 14, 'yahoo_finance': 8, 'economic_times': 1, 'nyt': 1}","9 of 23 confident headlines classified positive, 9 negative, 5 neutral (overall sentiment: mixed). Highest-credibility source: nyt (weight=0.8). Keyword 'nvda' detected (historically negative avg CAR=-0.78%). Signal partially dampened by 9 negative headline(s) countering 9 positive one(s). Lexicon detected bullish signals: surges, skyrocketed, ipo (lexicon score: -0.02). Lexicon detected bearish signals: dive, crash, pressure (lexicon score: -0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.553."
2026-03-09T03:45:22.224987+00:00,JPM,SELL,-0.3543,0.98,26,26,"outperforming, upgraded, share buyback","cuts pt, weak guidance, pressure, concerns, sec investigation","{'fnspid': 14, 'yahoo_finance': 8, 'nyt': 3, 'guardian': 1}","10 of 26 confident headlines classified positive, 11 negative, 5 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'dividend' detected (historically negative avg CAR=-0.77%). Signal partially dampened by 11 negative headline(s) countering 10 positive one(s). Lexicon detected bullish signals: outperforming, upgraded, share buyback (lexicon score: -0.04). Lexicon detected bearish signals: cuts pt, weak guidance, pressure (lexicon score: -0.04). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.354."
